ID,name,date,plate,row,col,size,seq,concentration,volume,features,location,reference,comments,description
,,,3,F,11,,,,,,ds_dna_plates,,,
,,,3,F,12,,,,,,ds_dna_plates,,,
,,,3,G,1,,,,,,ds_dna_plates,,,
,,,3,G,2,,,,,,ds_dna_plates,,,
,,,3,G,3,,,,,,ds_dna_plates,,,
,,,3,G,4,,,,,,ds_dna_plates,,,
,,,3,G,5,,,,,,ds_dna_plates,,,
,,,3,G,6,,,,,,ds_dna_plates,,,
,,,3,G,7,,,,,,ds_dna_plates,,,
,,,3,G,8,,,,,,ds_dna_plates,,,
,,,3,G,9,,,,,,ds_dna_plates,,,
,,,3,G,10,,,,,,ds_dna_plates,,,
,,,3,G,11,,,,,,ds_dna_plates,,,
,,,3,G,12,,,,,,ds_dna_plates,,,
,,,3,H,1,,,,,,ds_dna_plates,,,
,,,3,H,2,,,,,,ds_dna_plates,,,
,,,3,H,3,,,,,,ds_dna_plates,,,
,,,3,H,4,,,,,,ds_dna_plates,,,
,,,3,H,5,,,,,,ds_dna_plates,,,
,,,3,H,6,,,,,,ds_dna_plates,,,
,,,3,H,7,,,,,,ds_dna_plates,,,
,,,3,H,8,,,,,,ds_dna_plates,,,
,,,3,H,9,,,,,,ds_dna_plates,,,
,,,3,H,10,,,,,,ds_dna_plates,,,
,,,3,H,11,,,,,,ds_dna_plates,,,
,,,3,H,12,,,,,,ds_dna_plates,,,
,,,4,A,1,,,,,,ds_dna_plates,,,
,,,4,A,2,,,,,,ds_dna_plates,,,
,,,4,A,3,,,,,,ds_dna_plates,,,
,,,4,A,4,,,,,,ds_dna_plates,,,
,,,4,A,5,,,,,,ds_dna_plates,,,
,,,4,A,6,,,,,,ds_dna_plates,,,
,,,4,A,7,,,,,,ds_dna_plates,,,
,,,4,A,8,,,,,,ds_dna_plates,,,
,,,4,A,9,,,,,,ds_dna_plates,,,
,,,4,A,10,,,,,,ds_dna_plates,,,
,,,4,A,11,,,,,,ds_dna_plates,,,
,,,4,A,12,,,,,,ds_dna_plates,,,
,,,4,B,1,,,,,,ds_dna_plates,,,
,,,4,B,2,,,,,,ds_dna_plates,,,
,,,4,B,3,,,,,,ds_dna_plates,,,
,,,4,B,4,,,,,,ds_dna_plates,,,
,,,4,B,5,,,,,,ds_dna_plates,,,
,,,4,B,6,,,,,,ds_dna_plates,,,
,,,4,B,7,,,,,,ds_dna_plates,,,
,,,4,B,8,,,,,,ds_dna_plates,,,
,,,4,B,9,,,,,,ds_dna_plates,,,
,,,4,B,10,,,,,,ds_dna_plates,,,
,,,4,B,11,,,,,,ds_dna_plates,,,
,,,4,B,12,,,,,,ds_dna_plates,,,
,,,4,C,1,,,,,,ds_dna_plates,,,
,,,4,C,2,,,,,,ds_dna_plates,,,
,,,4,C,3,,,,,,ds_dna_plates,,,
,,,4,C,4,,,,,,ds_dna_plates,,,
,,,4,C,5,,,,,,ds_dna_plates,,,
,,,4,C,6,,,,,,ds_dna_plates,,,
,,,4,C,7,,,,,,ds_dna_plates,,,
,,,4,C,8,,,,,,ds_dna_plates,,,
,,,4,C,9,,,,,,ds_dna_plates,,,
,,,4,C,10,,,,,,ds_dna_plates,,,
,,,4,C,11,,,,,,ds_dna_plates,,,
,,,4,C,12,,,,,,ds_dna_plates,,,
,,,4,D,1,,,,,,ds_dna_plates,,,
,,,4,D,2,,,,,,ds_dna_plates,,,
,,,4,D,3,,,,,,ds_dna_plates,,,
,,,4,D,4,,,,,,ds_dna_plates,,,
,,,4,D,5,,,,,,ds_dna_plates,,,
,,,4,D,6,,,,,,ds_dna_plates,,,
,,,4,D,7,,,,,,ds_dna_plates,,,
,,,4,D,8,,,,,,ds_dna_plates,,,
,,,4,D,9,,,,,,ds_dna_plates,,,
,,,4,D,10,,,,,,ds_dna_plates,,,
,,,4,D,11,,,,,,ds_dna_plates,,,
,,,4,D,12,,,,,,ds_dna_plates,,,
,,,4,E,1,,,,,,ds_dna_plates,,,
,,,4,E,2,,,,,,ds_dna_plates,,,
,,,4,E,3,,,,,,ds_dna_plates,,,
,,,4,E,4,,,,,,ds_dna_plates,,,
,,,4,E,5,,,,,,ds_dna_plates,,,
,,,4,E,6,,,,,,ds_dna_plates,,,
